token,question_presence,questions_used,mean_delta,median_delta,mean_question_baseline,median_question_baseline,ci95_low,ci95_high,sign_test_p,bh_q,sign_pos,sign_neg,sign_n_nonzero,avg_question_trace_len,length_control_residual
compute,88,82,0.29283379795341813,0.2277432712215321,0.48332764433918124,0.5185185185185185,0.2108063990431295,0.3757230868604966,3.7146415938284177e-06,2.4145170359884714e-05,62,20,82,14.211253766264369,0.15042690372785128
instantiate,73,68,0.25555970022991603,0.18837535014005602,0.4669896108919612,0.47079772079772075,0.17658787835894244,0.3385912185879811,4.453448771493584e-05,0.00019298278009805532,51,17,68,13.047947492577421,0.0595476623154827
apply-formula,77,71,0.23431538010070657,0.196078431372549,0.48035158997054805,0.5185185185185185,0.13983491536433093,0.32867250160317013,0.0004402850065139684,0.0012213690268211507,50,20,70,12.983956853969103,0.035354654076417524
analyze,83,17,0.23153694179269627,0.1833333333333333,0.5031922866405625,0.5185185185185185,0.07531566472742944,0.4110176103142855,0.049041748046875,0.07969284057617188,13,4,17,11.216846943905768,-0.04885219460433374
conclude,79,79,0.2281375353947859,0.19999999999999998,0.4864023802151257,0.5333333333333333,0.15987508166924363,0.2981206173898003,1.9730209111390334e-06,2.4145170359884714e-05,60,18,78,14.297289093934662,0.08969514837287043
derive-intermediate,50,49,0.20480983688374196,0.15384615384615385,0.4545911078001156,0.5185185185185185,0.11521256496557372,0.3008773500781929,0.0004697573180081349,0.0012213690268211507,37,12,49,13.19361947524157,0.015510362753053147
compare,27,27,0.17161997486660793,0.1923076923076923,0.41073887207348253,0.25925925925925924,0.06253647231168703,0.28765641845822515,0.24778856337070465,0.35791681375768447,17,10,27,14.383547957175033,0.037152395565606317
rewrite,44,43,0.1663988410758454,0.11578947368421055,0.4722999392770321,0.5185185185185185,0.057947808303328935,0.2781257230924938,0.03153949735315109,0.06608220255414457,29,14,43,13.596955440415918,-0.0043149150396434854
simplify,68,67,0.1572833702605995,0.11904761904761907,0.5070755921038987,0.5925925925925926,0.0801053291141851,0.23498056118313962,0.03558272445223169,0.06608220255414457,42,24,66,12.810549721813231,-0.04966795501183838
check-constraint,55,55,0.09810621103487512,-0.0222222222222222,0.39896142188645933,0.3076923076923077,0.015042806759255805,0.18814716306738358,0.7877061896700435,0.8533483721425471,26,29,55,13.269741357703879,-0.08768556736721904
guess,12,12,0.05635748195732717,-0.045454545454545456,0.2743225139058472,0.1607142857142857,-0.050599802244539076,0.17457002062265223,0.3876953125,0.50400390625,4,8,12,15.648741690408357,-0.019809980342434287
case-split,29,29,0.03910003654239896,0.016666666666666663,0.28935921906841616,0.20833333333333334,-0.06573487514663984,0.1425481177464319,1.0,1.0,15,14,29,15.913522865740726,-0.02486631133818746
backtrack,15,15,-0.045114443231148035,-0.038461538461538464,0.2480871261560917,0.11538461538461539,-0.18838102316363187,0.0776518822308296,0.60723876953125,0.7176458185369318,6,9,15,14.971478169340237,-0.15249020310762668
