question_id,sample_id,attempt_index,is_correct,trace_length,success_signal,failure_signal,net_signal,top_success_motifs,top_failure_motifs,top_success_steps,top_failure_steps,critical_steps_for_observed_outcome,reasoning_trace
5,0,1,True,20,91.852182,1.383342,90.468840,"instantiate|compute (count=2, score=9.475, p_success=0.719, p_fail=0.281) || compute|apply-formula (count=2, score=8.264, p_success=0.762, p_fail=0.238) || analyze|compute (count=1, score=5.600, p_success=0.747, p_fail=0.253) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257) || rewrite|analyze|compute (count=1, score=4.854, p_success=0.828, p_fail=0.172)","apply-formula|substitute (count=1, score=1.383, p_success=0.357, p_fail=0.643)",compute (67.816) || analyze (49.392) || apply-formula (25.534) || instantiate (25.280) || backtrack (16.630),apply-formula (1.383) || substitute (1.383),compute (67.816) || analyze (49.392) || apply-formula (25.534) || instantiate (25.280) || backtrack (16.630),instantiate|compute|backtrack|apply-formula|compute|apply-formula|substitute|compute|apply-formula|analyze|backtrack|analyze|instantiate|compute|conclude|apply-formula|compute|rewrite|analyze|compute
5,1,4,True,19,102.604061,1.594918,101.009143,"analyze|compute (count=2, score=11.199, p_success=0.747, p_fail=0.253) || instantiate|compute (count=2, score=9.475, p_success=0.719, p_fail=0.281) || compute|apply-formula (count=2, score=8.264, p_success=0.762, p_fail=0.238) || instantiate|compute|apply-formula (count=2, score=6.889, p_success=0.773, p_fail=0.227) || apply-formula|instantiate|compute (count=2, score=5.972, p_success=0.750, p_fail=0.250)","instantiate|analyze|apply-formula (count=1, score=0.989, p_success=0.400, p_fail=0.600) || analyze|apply-formula (count=1, score=0.606, p_success=0.455, p_fail=0.545)",compute (66.932) || analyze (62.994) || apply-formula (44.700) || instantiate (42.840) || check-constraint (17.623),analyze (1.595) || apply-formula (1.595) || instantiate (0.989),compute (66.932) || analyze (62.994) || apply-formula (44.700) || instantiate (42.840) || check-constraint (17.623),apply-formula|analyze|instantiate|analyze|apply-formula|instantiate|compute|apply-formula|backtrack|apply-formula|instantiate|compute|apply-formula|rewrite|analyze|compute|check-constraint|analyze|compute
5,2,6,False,22,100.122575,3.793368,96.329207,"compute|analyze (count=2, score=9.230, p_success=0.708, p_fail=0.292) || analyze|compute (count=1, score=5.600, p_success=0.747, p_fail=0.253) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257) || rewrite|analyze|compute (count=1, score=4.854, p_success=0.828, p_fail=0.172) || substitute|compute (count=1, score=4.777, p_success=0.761, p_fail=0.239)","apply-formula|substitute (count=1, score=1.383, p_success=0.357, p_fail=0.643) || compute|instantiate|apply-formula (count=1, score=1.289, p_success=0.333, p_fail=0.667) || analyze|apply-formula (count=1, score=0.606, p_success=0.455, p_fail=0.545) || apply-formula|compute|instantiate (count=1, score=0.515, p_success=0.400, p_fail=0.600)",compute (81.300) || analyze (67.059) || instantiate (41.309) || apply-formula (17.735) || rewrite (16.143),apply-formula (3.793) || compute (1.804) || instantiate (1.804) || substitute (1.383) || analyze (0.606),apply-formula (3.793) || compute (1.804) || instantiate (1.804) || substitute (1.383) || analyze (0.606),compute|analyze|instantiate|compute|analyze|apply-formula|compute|apply-formula|instantiate|analyze|substitute|apply-formula|compute|instantiate|apply-formula|substitute|compute|rewrite|analyze|compute|conclude|compute
5,3,10,False,16,115.588573,0.268956,115.319617,"instantiate|compute (count=3, score=14.213, p_success=0.719, p_fail=0.281) || analyze|compute (count=2, score=11.199, p_success=0.747, p_fail=0.253) || compute|apply-formula (count=2, score=8.264, p_success=0.762, p_fail=0.238) || instantiate|compute|apply-formula (count=2, score=6.889, p_success=0.773, p_fail=0.227) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257)","analyze|compute|instantiate|compute (count=1, score=0.269, p_success=0.476, p_fail=0.524)",compute (112.079) || instantiate (67.676) || analyze (54.474) || apply-formula (34.252) || rewrite (23.134),compute (0.538) || analyze (0.269) || instantiate (0.269),compute (0.538) || analyze (0.269) || instantiate (0.269),compute|analyze|instantiate|compute|apply-formula|instantiate|compute|apply-formula|backtrack|analyze|compute|instantiate|compute|rewrite|analyze|compute
5,4,13,True,18,113.470643,1.383342,112.087301,"instantiate|compute (count=3, score=14.213, p_success=0.719, p_fail=0.281) || compute|apply-formula (count=3, score=12.396, p_success=0.762, p_fail=0.238) || instantiate|compute|apply-formula (count=3, score=10.334, p_success=0.773, p_fail=0.227) || apply-formula|instantiate|compute (count=2, score=5.972, p_success=0.750, p_fail=0.250) || analyze|compute (count=1, score=5.600, p_success=0.747, p_fail=0.253)","rewrite|conclude (count=1, score=1.383, p_success=0.357, p_fail=0.643)",compute (100.073) || instantiate (73.147) || apply-formula (61.440) || analyze (50.691) || rewrite (10.661),rewrite (1.383) || conclude (1.383),compute (100.073) || instantiate (73.147) || apply-formula (61.440) || analyze (50.691) || rewrite (10.661),compute|analyze|instantiate|compute|apply-formula|instantiate|compute|apply-formula|instantiate|compute|apply-formula|analyze|substitute|rewrite|conclude|rewrite|analyze|compute
5,5,15,True,16,62.490007,6.014523,56.475484,"instantiate|compute (count=2, score=9.475, p_success=0.719, p_fail=0.281) || compute|apply-formula (count=2, score=8.264, p_success=0.762, p_fail=0.238) || instantiate|compute|apply-formula (count=2, score=6.889, p_success=0.773, p_fail=0.227) || compute|rewrite (count=2, score=6.832, p_success=0.717, p_fail=0.283) || analyze|compute (count=1, score=5.600, p_success=0.747, p_fail=0.253)","rewrite|conclude|compute (count=1, score=3.463, p_success=0.111, p_fail=0.889) || rewrite|conclude (count=1, score=1.383, p_success=0.357, p_fail=0.643) || backtrack|instantiate (count=1, score=1.168, p_success=0.364, p_fail=0.636)",compute (57.924) || instantiate (24.679) || apply-formula (24.462) || rewrite (19.095) || analyze (17.862),rewrite (4.847) || conclude (4.847) || compute (3.463) || backtrack (1.168) || instantiate (1.168),compute (57.924) || instantiate (24.679) || apply-formula (24.462) || rewrite (19.095) || analyze (17.862),instantiate|compute|apply-formula|instantiate|backtrack|instantiate|compute|apply-formula|backtrack|compute|rewrite|conclude|compute|rewrite|analyze|compute
5,6,16,True,22,121.766977,0.000000,121.766977,"analyze|instantiate (count=2, score=10.397, p_success=0.743, p_fail=0.257) || instantiate|compute (count=2, score=9.475, p_success=0.719, p_fail=0.281) || compute|analyze (count=2, score=9.230, p_success=0.708, p_fail=0.292) || compute|apply-formula (count=2, score=8.264, p_success=0.762, p_fail=0.238) || compute|analyze|instantiate (count=2, score=7.795, p_success=0.703, p_fail=0.297)",,compute (90.174) || analyze (68.551) || instantiate (57.054) || apply-formula (49.423) || backtrack (16.260),,compute (90.174) || analyze (68.551) || instantiate (57.054) || apply-formula (49.423) || backtrack (16.260),apply-formula|compute|analyze|instantiate|apply-formula|compute|analyze|instantiate|compute|apply-formula|backtrack|apply-formula|instantiate|compute|apply-formula|backtrack|analyze|conclude|compute|rewrite|analyze|compute
5,7,18,True,21,85.654699,3.914513,81.740186,"analyze|compute (count=2, score=11.199, p_success=0.747, p_fail=0.253) || compute|analyze (count=2, score=9.230, p_success=0.708, p_fail=0.292) || compute|instantiate (count=2, score=5.344, p_success=0.637, p_fail=0.363) || rewrite|analyze|compute (count=1, score=4.854, p_success=0.828, p_fail=0.172) || instantiate|compute (count=1, score=4.738, p_success=0.719, p_fail=0.281)","compute|instantiate|apply-formula (count=1, score=1.289, p_success=0.333, p_fail=0.667) || backtrack|instantiate (count=1, score=1.168, p_success=0.364, p_fail=0.636) || compute|instantiate|apply-formula|compute (count=1, score=0.994, p_success=0.333, p_fail=0.667) || instantiate|conclude|compute (count=1, score=0.464, p_success=0.429, p_fail=0.571)",compute (75.599) || analyze (58.847) || check-constraint (17.623) || instantiate (17.003) || rewrite (15.679),instantiate (3.915) || compute (3.741) || apply-formula (2.283) || backtrack (1.168) || conclude (0.464),compute (75.599) || analyze (58.847) || check-constraint (17.623) || instantiate (17.003) || rewrite (15.679),apply-formula|compute|analyze|backtrack|compute|instantiate|apply-formula|compute|analyze|backtrack|instantiate|compute|instantiate|conclude|compute|rewrite|analyze|compute|check-constraint|analyze|compute
5,8,22,True,22,123.292843,3.779573,119.513270,"analyze|compute (count=3, score=16.799, p_success=0.747, p_fail=0.253) || instantiate|compute (count=2, score=9.475, p_success=0.719, p_fail=0.281) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257) || analyze|compute|analyze (count=1, score=5.183, p_success=0.772, p_fail=0.228) || rewrite|analyze|compute (count=1, score=4.854, p_success=0.828, p_fail=0.172)","check-constraint|apply-formula (count=1, score=2.138, p_success=0.167, p_fail=0.833) || compute|check-constraint|apply-formula (count=1, score=1.642, p_success=0.200, p_fail=0.800)",compute (102.025) || analyze (89.088) || instantiate (50.305) || apply-formula (36.480) || check-constraint (21.121),check-constraint (3.780) || apply-formula (3.780) || compute (1.642),compute (102.025) || analyze (89.088) || instantiate (50.305) || apply-formula (36.480) || check-constraint (21.121),apply-formula|analyze|compute|analyze|instantiate|compute|apply-formula|instantiate|apply-formula|compute|backtrack|apply-formula|instantiate|compute|check-constraint|apply-formula|rewrite|analyze|compute|check-constraint|analyze|compute
5,9,25,True,17,76.822458,1.894569,74.927889,"compute|analyze (count=2, score=9.230, p_success=0.708, p_fail=0.292) || substitute|compute|analyze (count=1, score=7.791, p_success=0.933, p_fail=0.067) || analyze|compute (count=1, score=5.600, p_success=0.747, p_fail=0.253) || analyze|instantiate (count=1, score=5.198, p_success=0.743, p_fail=0.257) || substitute|compute (count=1, score=4.777, p_success=0.761, p_fail=0.239)","compute|instantiate|apply-formula (count=1, score=1.289, p_success=0.333, p_fail=0.667) || analyze|apply-formula (count=1, score=0.606, p_success=0.455, p_fail=0.545)",compute (55.256) || analyze (42.039) || instantiate (29.886) || apply-formula (27.440) || substitute (17.523),apply-formula (1.895) || compute (1.289) || instantiate (1.289) || analyze (0.606),compute (55.256) || analyze (42.039) || instantiate (29.886) || apply-formula (27.440) || substitute (17.523),compute|analyze|instantiate|apply-formula|compute|apply-formula|instantiate|substitute|compute|analyze|apply-formula|backtrack|compute|instantiate|apply-formula|analyze|compute
