token,question_id,question_total_runs,question_success_count,question_baseline_success_rate,n_with_token,n_without_token,succ_with_token,succ_without_token,delta_q
action:apply-formula,189,30,1,0.03333333333333333,23,7,0.043478260869565216,0.0,0.043478260869565216
action:apply-formula,185,30,25,0.8333333333333334,23,7,1.0,0.2857142857142857,0.7142857142857143
action:apply-formula,45,30,25,0.8333333333333334,22,8,1.0,0.375,0.625
action:apply-formula,167,30,26,0.8666666666666667,25,5,1.0,0.2,0.8
action:apply-formula,52,30,26,0.8666666666666667,1,29,0.0,0.896551724137931,-0.896551724137931
action:apply-formula,92,30,2,0.06666666666666667,18,12,0.05555555555555555,0.08333333333333333,-0.027777777777777776
action:apply-formula,169,30,26,0.8666666666666667,26,4,1.0,0.0,1.0
action:apply-formula,68,30,17,0.5666666666666667,23,7,0.6956521739130435,0.14285714285714285,0.5527950310559007
action:apply-formula,165,30,22,0.7333333333333333,22,8,0.8636363636363636,0.375,0.48863636363636365
action:apply-formula,150,30,3,0.1,15,15,0.13333333333333333,0.06666666666666667,0.06666666666666667
action:apply-formula,49,30,26,0.8666666666666667,25,5,1.0,0.2,0.8
action:apply-formula,172,30,27,0.9,26,4,1.0,0.25,0.75
action:instantiate,189,30,1,0.03333333333333333,24,6,0.041666666666666664,0.0,0.041666666666666664
action:instantiate,185,30,25,0.8333333333333334,1,29,1.0,0.8275862068965517,0.1724137931034483
action:instantiate,45,30,25,0.8333333333333334,12,18,1.0,0.7222222222222222,0.2777777777777778
action:instantiate,167,30,26,0.8666666666666667,27,3,0.9259259259259259,0.3333333333333333,0.5925925925925926
action:instantiate,52,30,26,0.8666666666666667,16,14,1.0,0.7142857142857143,0.2857142857142857
action:instantiate,92,30,2,0.06666666666666667,17,13,0.058823529411764705,0.07692307692307693,-0.018099547511312222
action:instantiate,169,30,26,0.8666666666666667,25,5,0.96,0.4,0.5599999999999999
action:instantiate,68,30,17,0.5666666666666667,14,16,0.5,0.625,-0.125
action:instantiate,183,30,26,0.8666666666666667,6,24,1.0,0.8333333333333334,0.16666666666666663
action:instantiate,150,30,3,0.1,20,10,0.1,0.1,0.0
action:instantiate,49,30,26,0.8666666666666667,26,4,0.9615384615384616,0.25,0.7115384615384616
action:instantiate,172,30,27,0.9,8,22,1.0,0.8636363636363636,0.13636363636363635
action:conclude,189,30,1,0.03333333333333333,12,18,0.0,0.05555555555555555,-0.05555555555555555
action:conclude,185,30,25,0.8333333333333334,8,22,1.0,0.7727272727272727,0.2272727272727273
action:conclude,45,30,25,0.8333333333333334,16,14,1.0,0.6428571428571429,0.3571428571428571
action:conclude,167,30,26,0.8666666666666667,25,5,1.0,0.2,0.8
action:conclude,52,30,26,0.8666666666666667,4,26,1.0,0.8461538461538461,0.15384615384615385
action:conclude,169,30,26,0.8666666666666667,24,6,1.0,0.3333333333333333,0.6666666666666667
action:conclude,68,30,17,0.5666666666666667,22,8,0.5909090909090909,0.5,0.09090909090909094
action:conclude,183,30,26,0.8666666666666667,24,6,1.0,0.3333333333333333,0.6666666666666667
action:conclude,120,30,20,0.6666666666666666,24,6,0.75,0.3333333333333333,0.4166666666666667
action:conclude,150,30,3,0.1,17,13,0.058823529411764705,0.15384615384615385,-0.09502262443438915
action:conclude,49,30,26,0.8666666666666667,17,13,1.0,0.6923076923076923,0.3076923076923077
action:conclude,114,30,25,0.8333333333333334,19,11,1.0,0.5454545454545454,0.4545454545454546
action:conclude,172,30,27,0.9,25,5,1.0,0.4,0.6
noise:corrupted-span,189,30,1,0.03333333333333333,12,18,0.08333333333333333,0.0,0.08333333333333333
noise:corrupted-span,185,30,25,0.8333333333333334,6,24,0.16666666666666666,1.0,-0.8333333333333334
noise:corrupted-span,45,30,25,0.8333333333333334,5,25,0.0,1.0,-1.0
noise:corrupted-span,167,30,26,0.8666666666666667,4,26,0.0,1.0,-1.0
noise:corrupted-span,52,30,26,0.8666666666666667,4,26,0.0,1.0,-1.0
noise:corrupted-span,92,30,2,0.06666666666666667,8,22,0.0,0.09090909090909091,-0.09090909090909091
noise:corrupted-span,169,30,26,0.8666666666666667,5,25,0.4,0.96,-0.5599999999999999
noise:corrupted-span,68,30,17,0.5666666666666667,10,20,0.3,0.7,-0.39999999999999997
noise:corrupted-span,165,30,22,0.7333333333333333,6,24,0.0,0.9166666666666666,-0.9166666666666666
noise:corrupted-span,183,30,26,0.8666666666666667,4,26,0.0,1.0,-1.0
noise:corrupted-span,120,30,20,0.6666666666666666,7,23,0.5714285714285714,0.6956521739130435,-0.12422360248447206
noise:corrupted-span,150,30,3,0.1,12,18,0.16666666666666666,0.05555555555555555,0.1111111111111111
noise:corrupted-span,49,30,26,0.8666666666666667,5,25,0.2,1.0,-0.8
noise:corrupted-span,114,30,25,0.8333333333333334,5,25,0.0,1.0,-1.0
noise:corrupted-span,172,30,27,0.9,4,26,0.5,0.9615384615384616,-0.46153846153846156
action:simplify,189,30,1,0.03333333333333333,10,20,0.0,0.05,-0.05
action:simplify,185,30,25,0.8333333333333334,2,28,0.5,0.8571428571428571,-0.3571428571428571
action:simplify,167,30,26,0.8666666666666667,2,28,1.0,0.8571428571428571,0.1428571428571429
action:simplify,52,30,26,0.8666666666666667,1,29,0.0,0.896551724137931,-0.896551724137931
action:simplify,92,30,2,0.06666666666666667,15,15,0.0,0.13333333333333333,-0.13333333333333333
action:simplify,169,30,26,0.8666666666666667,6,24,1.0,0.8333333333333334,0.16666666666666663
action:simplify,68,30,17,0.5666666666666667,11,19,0.8181818181818182,0.42105263157894735,0.3971291866028709
action:simplify,165,30,22,0.7333333333333333,24,6,0.875,0.16666666666666666,0.7083333333333334
action:simplify,183,30,26,0.8666666666666667,24,6,1.0,0.3333333333333333,0.6666666666666667
action:simplify,150,30,3,0.1,6,24,0.3333333333333333,0.041666666666666664,0.29166666666666663
action:simplify,172,30,27,0.9,11,19,1.0,0.8421052631578947,0.1578947368421053
action:analyze,189,30,1,0.03333333333333333,22,8,0.0,0.125,-0.125
action:analyze,185,30,25,0.8333333333333334,5,25,0.8,0.84,-0.039999999999999925
action:analyze,45,30,25,0.8333333333333334,27,3,0.8888888888888888,0.3333333333333333,0.5555555555555556
action:analyze,167,30,26,0.8666666666666667,8,22,0.75,0.9090909090909091,-0.15909090909090906
action:analyze,52,30,26,0.8666666666666667,4,26,1.0,0.8461538461538461,0.15384615384615385
action:analyze,92,30,2,0.06666666666666667,21,9,0.09523809523809523,0.0,0.09523809523809523
action:analyze,68,30,17,0.5666666666666667,17,13,0.6470588235294118,0.46153846153846156,0.18552036199095023
action:analyze,165,30,22,0.7333333333333333,9,21,0.8888888888888888,0.6666666666666666,0.2222222222222222
action:analyze,150,30,3,0.1,27,3,0.1111111111111111,0.0,0.1111111111111111
action:analyze,49,30,26,0.8666666666666667,9,21,1.0,0.8095238095238095,0.19047619047619047
action:analyze,114,30,25,0.8333333333333334,11,19,0.9090909090909091,0.7894736842105263,0.11961722488038273
action:analyze,172,30,27,0.9,29,1,0.9310344827586207,0.0,0.9310344827586207
action:compute,189,30,1,0.03333333333333333,23,7,0.043478260869565216,0.0,0.043478260869565216
action:compute,185,30,25,0.8333333333333334,24,6,1.0,0.16666666666666666,0.8333333333333334
action:compute,45,30,25,0.8333333333333334,22,8,1.0,0.375,0.625
action:compute,167,30,26,0.8666666666666667,26,4,1.0,0.0,1.0
action:compute,52,30,26,0.8666666666666667,28,2,0.9285714285714286,0.0,0.9285714285714286
action:compute,92,30,2,0.06666666666666667,25,5,0.08,0.0,0.08
action:compute,169,30,26,0.8666666666666667,24,6,1.0,0.3333333333333333,0.6666666666666667
action:compute,68,30,17,0.5666666666666667,13,17,0.5384615384615384,0.5882352941176471,-0.04977375565610864
action:compute,165,30,22,0.7333333333333333,26,4,0.8461538461538461,0.0,0.8461538461538461
