"question_id","sample_id","attempt_index","is_correct","tokenized_trace"
"22","0","0","True","analyze | compute | compute | derive-intermediate | apply-formula | simplify | conclude"
"22","1","1","True","analyze | check-constraint | compute | compute | check-constraint | derive-intermediate | apply-formula | simplify | conclude"
"22","2","2","True","analyze | derive-intermediate | compute | check-constraint | compute | apply-formula | simplify | conclude"
"22","3","3","False","analyze | compute | compute | check-constraint | case-split | compare | backtrack | derive-intermediate | apply-formula | simplify | conclude"
"22","4","6","False","analyze | compute | compute | check-constraint | derive-intermediate | apply-formula | simplify | conclude"
"22","5","8","True","analyze | check-constraint | compute | compute | derive-intermediate | apply-formula | simplify | conclude"
"22","6","9","False","analyze | check-constraint | compute | compute | derive-intermediate | apply-formula | simplify | conclude"
"22","7","10","True","analyze | derive-intermediate | compute | compute | apply-formula | simplify | conclude"
"22","8","14","True","analyze | check-constraint | compute | compute | apply-formula | simplify | conclude"
"22","9","15","False","analyze | check-constraint | case-split | compare | backtrack | derive-intermediate | compute | apply-formula | simplify | check-constraint | conclude"
"22","10","16","True","analyze | check-constraint | compute | compute | derive-intermediate | apply-formula | simplify | conclude"
"22","11","17","True","analyze | check-constraint | compute | compute | derive-intermediate | apply-formula | simplify | conclude"
"22","12","18","False","analyze | check-constraint | compute | check-constraint | case-split | compare | backtrack | derive-intermediate | compute | apply-formula | simplify | conclude"
"22","13","19","True","analyze | check-constraint | compute | compute | derive-intermediate | apply-formula | simplify | conclude"
