token,question_id,question_total_runs,question_success_count,question_baseline_success_rate,n_with_token,n_without_token,succ_with_token,succ_without_token,delta_q
derive-intermediate,120,27,20,0.7407407407407407,16,11,0.75,0.7272727272727273,0.022727272727272707
derive-intermediate,169,29,26,0.896551724137931,20,9,1.0,0.6666666666666666,0.33333333333333337
derive-intermediate,183,29,26,0.896551724137931,27,2,0.9629629629629629,0.0,0.9629629629629629
derive-intermediate,45,25,23,0.92,9,16,1.0,0.875,0.125
derive-intermediate,114,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
derive-intermediate,167,28,26,0.9285714285714286,16,12,1.0,0.8333333333333334,0.16666666666666663
derive-intermediate,189,17,1,0.058823529411764705,12,5,0.0,0.2,-0.2
derive-intermediate,252,30,20,0.6666666666666666,20,10,0.7,0.6,0.09999999999999998
derive-intermediate,291,26,20,0.7692307692307693,24,2,0.7916666666666666,0.5,0.29166666666666663
derive-intermediate,348,29,25,0.8620689655172413,5,24,0.8,0.875,-0.07499999999999996
derive-intermediate,150,25,2,0.08,20,5,0.1,0.0,0.1
derive-intermediate,185,26,24,0.9230769230769231,7,19,1.0,0.8947368421052632,0.10526315789473684
derive-intermediate,214,24,1,0.041666666666666664,21,3,0.0,0.3333333333333333,-0.3333333333333333
derive-intermediate,279,20,7,0.35,6,14,0.16666666666666666,0.42857142857142855,-0.26190476190476186
derive-intermediate,226,29,21,0.7241379310344828,11,18,0.7272727272727273,0.7222222222222222,0.005050505050505083
derive-intermediate,68,27,17,0.6296296296296297,23,4,0.6521739130434783,0.5,0.15217391304347827
derive-intermediate,224,6,2,0.3333333333333333,3,3,0.3333333333333333,0.3333333333333333,0.0
derive-intermediate,52,30,26,0.8666666666666667,29,1,0.8620689655172413,1.0,-0.13793103448275867
apply-formula,120,27,20,0.7407407407407407,26,1,0.7307692307692307,1.0,-0.2692307692307693
apply-formula,169,29,26,0.896551724137931,28,1,0.9285714285714286,0.0,0.9285714285714286
apply-formula,183,29,26,0.896551724137931,21,8,1.0,0.625,0.375
apply-formula,45,25,23,0.92,24,1,0.9583333333333334,0.0,0.9583333333333334
apply-formula,167,28,26,0.9285714285714286,5,23,1.0,0.9130434782608695,0.08695652173913049
apply-formula,189,17,1,0.058823529411764705,16,1,0.0625,0.0,0.0625
apply-formula,252,30,20,0.6666666666666666,21,9,0.7619047619047619,0.4444444444444444,0.31746031746031744
apply-formula,369,22,6,0.2727272727272727,21,1,0.23809523809523808,1.0,-0.7619047619047619
apply-formula,172,19,18,0.9473684210526315,18,1,1.0,0.0,1.0
apply-formula,291,26,20,0.7692307692307693,25,1,0.8,0.0,0.8
apply-formula,348,29,25,0.8620689655172413,27,2,0.9259259259259259,0.0,0.9259259259259259
apply-formula,150,25,2,0.08,5,20,0.2,0.05,0.15000000000000002
apply-formula,185,26,24,0.9230769230769231,23,3,1.0,0.3333333333333333,0.6666666666666667
apply-formula,214,24,1,0.041666666666666664,21,3,0.0,0.3333333333333333,-0.3333333333333333
apply-formula,279,20,7,0.35,12,8,0.5,0.125,0.375
apply-formula,226,29,21,0.7241379310344828,2,27,1.0,0.7037037037037037,0.2962962962962963
apply-formula,68,27,17,0.6296296296296297,24,3,0.7083333333333334,0.0,0.7083333333333334
apply-formula,92,26,2,0.07692307692307693,25,1,0.08,0.0,0.08
apply-formula,224,6,2,0.3333333333333333,4,2,0.5,0.0,0.5
apply-formula,52,30,26,0.8666666666666667,2,28,0.5,0.8928571428571429,-0.3928571428571429
instantiate,120,27,20,0.7407407407407407,24,3,0.8333333333333334,0.0,0.8333333333333334
instantiate,169,29,26,0.896551724137931,19,10,0.9473684210526315,0.8,0.14736842105263148
instantiate,45,25,23,0.92,12,13,1.0,0.8461538461538461,0.15384615384615385
instantiate,114,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
instantiate,252,30,20,0.6666666666666666,4,26,0.75,0.6538461538461539,0.09615384615384615
instantiate,172,19,18,0.9473684210526315,2,17,1.0,0.9411764705882353,0.05882352941176472
instantiate,291,26,20,0.7692307692307693,15,11,0.8,0.7272727272727273,0.07272727272727275
instantiate,348,29,25,0.8620689655172413,27,2,0.9259259259259259,0.0,0.9259259259259259
instantiate,150,25,2,0.08,18,7,0.05555555555555555,0.14285714285714285,-0.0873015873015873
instantiate,185,26,24,0.9230769230769231,1,25,1.0,0.92,0.07999999999999996
instantiate,279,20,7,0.35,4,16,0.5,0.3125,0.1875
instantiate,68,27,17,0.6296296296296297,26,1,0.6538461538461539,0.0,0.6538461538461539
analyze,169,29,26,0.896551724137931,3,26,1.0,0.8846153846153846,0.11538461538461542
analyze,183,29,26,0.896551724137931,4,25,1.0,0.88,0.12
analyze,45,25,23,0.92,24,1,0.9583333333333334,0.0,0.9583333333333334
analyze,114,26,25,0.9615384615384616,20,6,0.95,1.0,-0.050000000000000044
analyze,189,17,1,0.058823529411764705,15,2,0.0,0.5,-0.5
analyze,252,30,20,0.6666666666666666,22,8,0.7272727272727273,0.5,0.2272727272727273
analyze,369,22,6,0.2727272727272727,11,11,0.2727272727272727,0.2727272727272727,0.0
analyze,165,26,22,0.8461538461538461,21,5,0.8571428571428571,0.8,0.05714285714285705
analyze,291,26,20,0.7692307692307693,25,1,0.76,1.0,-0.24
analyze,348,29,25,0.8620689655172413,17,12,0.8823529411764706,0.8333333333333334,0.04901960784313719
analyze,185,26,24,0.9230769230769231,2,24,0.5,0.9583333333333334,-0.45833333333333337
analyze,214,24,1,0.041666666666666664,23,1,0.043478260869565216,0.0,0.043478260869565216
analyze,279,20,7,0.35,10,10,0.5,0.2,0.3
analyze,68,27,17,0.6296296296296297,23,4,0.6086956521739131,0.75,-0.14130434782608692
analyze,195,25,23,0.92,24,1,0.9583333333333334,0.0,0.9583333333333334
compute,120,27,20,0.7407407407407407,12,15,0.6666666666666666,0.8,-0.13333333333333341
compute,169,29,26,0.896551724137931,24,5,1.0,0.4,0.6
compute,183,29,26,0.896551724137931,25,4,1.0,0.25,0.75
compute,45,25,23,0.92,20,5,1.0,0.6,0.4
compute,114,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
compute,167,28,26,0.9285714285714286,26,2,1.0,0.0,1.0
compute,189,17,1,0.058823529411764705,15,2,0.06666666666666667,0.0,0.06666666666666667
compute,252,30,20,0.6666666666666666,25,5,0.72,0.4,0.31999999999999995
compute,172,19,18,0.9473684210526315,18,1,1.0,0.0,1.0
compute,49,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
compute,291,26,20,0.7692307692307693,25,1,0.8,0.0,0.8
compute,348,29,25,0.8620689655172413,26,3,0.9230769230769231,0.3333333333333333,0.5897435897435899
compute,150,25,2,0.08,21,4,0.09523809523809523,0.0,0.09523809523809523
compute,185,26,24,0.9230769230769231,25,1,0.96,0.0,0.96
compute,214,24,1,0.041666666666666664,21,3,0.0,0.3333333333333333,-0.3333333333333333
compute,226,29,21,0.7241379310344828,23,6,0.8260869565217391,0.3333333333333333,0.4927536231884058
compute,68,27,17,0.6296296296296297,21,6,0.6190476190476191,0.6666666666666666,-0.04761904761904756
compute,195,25,23,0.92,23,2,1.0,0.0,1.0
compute,92,26,2,0.07692307692307693,25,1,0.08,0.0,0.08
compute,224,6,2,0.3333333333333333,5,1,0.4,0.0,0.4
conclude,120,27,20,0.7407407407407407,25,2,0.76,0.5,0.26
conclude,169,29,26,0.896551724137931,24,5,1.0,0.4,0.6
conclude,183,29,26,0.896551724137931,26,3,1.0,0.0,1.0
conclude,45,25,23,0.92,23,2,1.0,0.0,1.0
conclude,114,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
conclude,167,28,26,0.9285714285714286,26,2,1.0,0.0,1.0
conclude,189,17,1,0.058823529411764705,10,7,0.0,0.14285714285714285,-0.14285714285714285
conclude,252,30,20,0.6666666666666666,15,15,0.6666666666666666,0.6666666666666666,0.0
conclude,165,26,22,0.8461538461538461,16,10,0.875,0.8,0.07499999999999996
conclude,172,19,18,0.9473684210526315,18,1,1.0,0.0,1.0
conclude,49,26,25,0.9615384615384616,24,2,1.0,0.5,0.5
conclude,291,26,20,0.7692307692307693,23,3,0.8260869565217391,0.3333333333333333,0.4927536231884058
conclude,348,29,25,0.8620689655172413,25,4,0.92,0.5,0.42000000000000004
conclude,150,25,2,0.08,18,7,0.05555555555555555,0.14285714285714285,-0.0873015873015873
conclude,185,26,24,0.9230769230769231,25,1,0.96,0.0,0.96
conclude,214,24,1,0.041666666666666664,18,6,0.0,0.16666666666666666,-0.16666666666666666
conclude,279,20,7,0.35,15,5,0.4666666666666667,0.0,0.4666666666666667
conclude,226,29,21,0.7241379310344828,23,6,0.8695652173913043,0.16666666666666666,0.7028985507246377
conclude,195,25,23,0.92,23,2,1.0,0.0,1.0
conclude,92,26,2,0.07692307692307693,23,3,0.08695652173913043,0.0,0.08695652173913043
conclude,224,6,2,0.3333333333333333,4,2,0.5,0.0,0.5
rewrite,120,27,20,0.7407407407407407,25,2,0.76,0.5,0.26
rewrite,169,29,26,0.896551724137931,1,28,1.0,0.8928571428571429,0.1071428571428571
rewrite,183,29,26,0.896551724137931,26,3,1.0,0.0,1.0
rewrite,45,25,23,0.92,17,8,1.0,0.75,0.25
rewrite,114,26,25,0.9615384615384616,25,1,1.0,0.0,1.0
rewrite,167,28,26,0.9285714285714286,1,27,1.0,0.9259259259259259,0.07407407407407407
