question_id,sample_id,gold_answer,predicted_answer,is_correct,tokenized_trace
0,0,104,16,False,analyze instantiate apply-formula compute simplify conclude
0,1,104,49,False,analyze instantiate apply-formula compute simplify conclude
0,2,104,9,False,analyze instantiate apply-formula compute simplify conclude
0,3,104,None,False,
0,4,104,383,False,analyze instantiate apply-formula compute simplify conclude
0,5,104,28,False,analyze instantiate apply-formula compute simplify conclude
0,6,104,No valid answer found,False,
0,7,104,9,False,analyze instantiate apply-formula compute simplify conclude
0,8,104,None,False,analyze instantiate apply-formula compute simplify conclude
0,9,104,12,False,analyze instantiate apply-formula compute simplify conclude
0,10,104,10,False,analyze instantiate apply-formula compute simplify conclude
0,11,104,None,False,
0,12,104,198,False,analyze instantiate apply-formula compute simplify conclude
0,13,104,12,False,analyze instantiate apply-formula compute simplify conclude
0,14,104,No valid answer found,False,
0,15,104,10,False,analyze instantiate apply-formula compute simplify conclude
0,16,104,517,False,analyze instantiate apply-formula compute simplify conclude
0,17,104,None,False,analyze instantiate apply-formula compute simplify conclude
0,18,104,23,False,analyze instantiate apply-formula compute simplify conclude
0,19,104,None,False,
0,20,104,12,False,analyze instantiate apply-formula compute simplify conclude
0,21,104,86,False,analyze instantiate apply-formula compute simplify conclude
0,22,104,68,False,analyze instantiate apply-formula compute simplify conclude
0,23,104,2982,False,analyze instantiate apply-formula compute simplify conclude
0,24,104,104,True,
0,25,104,None,False,
0,26,104,25,False,analyze instantiate apply-formula compute simplify conclude
0,27,104,71,False,analyze instantiate apply-formula compute simplify conclude
0,28,104,null,False,
0,29,104,None,False,
1,0,294,1080,False,analyze apply-formula compute conclude
1,1,294,1365,False,analyze apply-formula compute conclude
1,2,294,455,False,analyze apply-formula compute conclude
1,3,294,1365,False,analyze apply-formula compute conclude
1,4,294,None,False,analyze
1,5,294,64350,False,analyze apply-formula compute conclude
1,6,294,294,True,analyze
1,7,294,None,False,analyze
1,8,294,49000,False,analyze apply-formula compute conclude
1,9,294,1225,False,analyze apply-formula compute conclude
1,10,294,294,True,analyze
1,11,294,1365,False,analyze apply-formula compute conclude
1,12,294,1365,False,analyze apply-formula compute conclude
1,13,294,294,True,analyze
1,14,294,2,False,analyze conclude
1,15,294,No valid answer found,False,analyze
1,16,294,10,False,analyze apply-formula compute conclude
1,17,294,None,False,analyze
1,18,294,102960,False,analyze apply-formula compute conclude
1,19,294,2,False,analyze conclude
1,20,294,1365,False,analyze apply-formula compute conclude
1,21,294,null,False,analyze
1,22,294,null,False,analyze
1,23,294,1365,False,analyze apply-formula compute conclude
1,24,294,1365,False,analyze apply-formula compute conclude
1,25,294,6,False,analyze apply-formula conclude
1,26,294,294,True,analyze
1,27,294,6,False,analyze apply-formula conclude
1,28,294,None,False,analyze
1,29,294,51480,False,analyze apply-formula compute conclude
2,0,540,549.54,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,1,540,600,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,2,540,540,True,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,3,540,None,False,analyze instantiate
2,4,540,540,True,analyze instantiate compute compute simplify derive-intermediate apply-formula conclude
2,5,540,540,True,analyze instantiate compute compute simplify derive-intermediate apply-formula conclude
2,6,540,325,False,analyze instantiate compute compute
2,7,540,12\sqrt{195} + 24,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,8,540,448,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,9,540,744,False,analyze instantiate compute compute
2,10,540,1028.32,False,analyze instantiate compute compute rewrite derive-intermediate apply-formula conclude
2,11,540,3\sqrt{1818},False,analyze instantiate compute compute simplify derive-intermediate apply-formula conclude
2,12,540,594,False,analyze instantiate compute compute
2,13,540,600,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,14,540,324,False,analyze instantiate compute compute simplify derive-intermediate conclude
2,15,540,9\sqrt{277},False,analyze instantiate compute compute simplify derive-intermediate apply-formula conclude
2,16,540,None,False,analyze instantiate
2,17,540,540,True,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,18,540,540,True,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,19,540,562,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,20,540,599.16,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,21,540,None,False,analyze
2,22,540,540,True,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,23,540,None,False,analyze
2,24,540,540,True,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,25,540,540,True,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,26,540,682,False,analyze instantiate compute compute derive-intermediate apply-formula
2,27,540,120,False,analyze instantiate compute compute derive-intermediate conclude
2,28,540,599.16,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
2,29,540,524,False,analyze instantiate compute compute derive-intermediate apply-formula conclude
3,0,321,1,False,analyze simplify apply-formula compute conclude
3,1,321,513,False,analyze simplify apply-formula compute conclude
3,2,321,192,False,analyze simplify apply-formula compute conclude
3,3,321,169,False,analyze simplify apply-formula compute conclude
3,4,321,None,False,analyze
3,5,321,496,False,analyze simplify apply-formula compute conclude
3,6,321,199,False,analyze simplify apply-formula compute conclude
3,7,321,13,False,analyze simplify apply-formula compute conclude
3,8,321,24,False,analyze simplify apply-formula compute conclude
3,9,321,1,False,analyze
3,10,321,unknown,False,analyze
3,11,321,1,False,analyze simplify apply-formula compute conclude
3,12,321,192,False,analyze simplify apply-formula compute conclude
3,13,321,744,False,analyze simplify apply-formula compute conclude
3,14,321,None,False,analyze
3,15,321,323,False,analyze simplify apply-formula compute conclude
3,16,321,1,False,analyze simplify apply-formula compute conclude
3,17,321,None,False,analyze
3,18,321,321,True,analyze
3,19,321,192,False,analyze simplify apply-formula compute conclude
3,20,321,192,False,analyze simplify apply-formula compute conclude
3,21,321,1024,False,analyze
3,22,321,192,False,analyze simplify apply-formula compute conclude
3,23,321,None,False,analyze
3,24,321,96,False,analyze simplify apply-formula compute conclude
3,25,321,0,False,analyze
3,26,321,null,False,analyze
3,27,321,323,False,analyze simplify apply-formula compute conclude
3,28,321,441,False,analyze simplify apply-formula compute conclude
3,29,321,unknown,False,analyze
4,0,\frac{16}{5},\frac{16}{5},True,analyze instantiate apply-formula rewrite simplify compute conclude
4,1,\frac{16}{5},\frac{16}{5},True,analyze instantiate apply-formula rewrite simplify compute check-constraint conclude
4,2,\frac{16}{5},4,False,analyze instantiate apply-formula rewrite simplify compute
4,3,\frac{16}{5},None,False,
4,4,\frac{16}{5},8,False,analyze instantiate apply-formula rewrite simplify compute conclude
4,5,\frac{16}{5},\frac{16}{5},True,analyze instantiate apply-formula rewrite simplify compute conclude
4,6,\frac{16}{5},3.2,False,analyze instantiate apply-formula simplify compute conclude
4,7,\frac{16}{5},\frac{16}{5},True,analyze instantiate apply-formula rewrite simplify compute conclude
4,8,\frac{16}{5},\frac{16}{5},True,analyze instantiate apply-formula rewrite simplify compute check-constraint conclude
4,9,\frac{16}{5},None,False,analyze instantiate apply-formula rewrite simplify compute
