token,num_sections,keywords
Q12_T01_theta_cos_sin,11,"theta, cos, sin, sqrt, times, 108, 432, text"
Q12_T02_cos_theta_sin,11,"cos, theta, sin, frac, text, real, 39i, left"
Q12_T03_284_proper_divisors,10,"284, proper, divisors, sum, 142, times, prime, sigma"
Q12_T04_largest_part_possible,8,"largest, part, possible, real, expression, find, 540"
Q12_T05_sum_proper_find,8,"sum, proper, find, divisors, 284, will, problem, solve"
Q12_T06_times_divisors_sum,7,"times, divisors, sum, 220, proper, sigma, 110, 224"
Q12_T07_144i_117i_expression,6,"144i, 117i, expression, given, frac, where, denoted"
Q12_T08_divisible_144_39i,4,"divisible, 144, 39i, simplify, both, these, frac, times"
Q12_T09_theta_324_432,3,"theta, 324, 432, sqrt, frac, 108, times, 540"
Q12_T10_proper_times_divisors,3,"proper, times, divisors, sum, 224, frac, 112, 220"
Q12_T11_theta_frac_left,2,"theta, frac, left, right, substitute, 156e, step, 39i"
Q12_T12_cos_theta_text,2,"cos, theta, text, sin, 144i, 168, term, bracket"
Q12_T13_cos_theta_coefficient,2,"cos, theta, coefficient, frac, 144, 117, call, calculate"
Q12_T14_cos_theta_real,2,"cos, theta, real, sin, want, maximize, imaginary, inside"
Q12_T15_cos_theta_text,2,"cos, theta, text, sin, form, where, 432, 324"
Q12_T16_144_theta_text,2,"144, theta, text, 117, implies, coefficient, coefficients, given"
Q12_T17_solution_proper_find,2,"solution, proper, find, divisors, sum, need, will"
Q12_T18_gcd_expression_real,1,"gcd, expression, real, times, 39i, complex"
Q12_T19_step_coefficients_117i,1,"step, coefficients, 117i, times, 39i, simplify"
Q12_T20_substitute_117i_expression,1,"substitute, 117i, expression, these, theta, frac"
Q12_T21_theta_text_now,1,"theta, text, now, part, real, find"
Q12_T22_36i_coefficients_468i,1,"36i, coefficients, 468i, 300, 468, calculate"
Q12_T23_324_468_300,1,"324, 468, 300, 432"
Q12_T24_theta_text_sqrt,1,"theta, text, sqrt, want, maximize, function"
Q12_T25_225_calculation_text,1,"225, calculation, text, sqrt, times, simplify"
Q12_T26_180_540_360,1,"180, 540, 360, times, calculate"
Q12_T27_432_text_bar,1,"432, text, bar, 324, frac, alternatively"
Q12_T28_cos_theta_text,1,"cos, theta, text, sin, left, right"
Q12_T29_coefficients_expression_theta,1,"coefficients, expression, theta, can, frac, simplify"
Q12_T30_48k_notice_times,1,"48k, notice, times, 39i, frac, 48i"
Q12_T31_cos_168_144,1,"cos, 168, 144, theta, 156, sin"
Q12_T32_432_theta_sqrt,1,"432, theta, sqrt, 336, times, value"
Q12_T33_largest_expression_asked,1,"largest, expression, asked, possible, find, given"
Q12_T34_step_theta_terms,1,"step, theta, terms, times, frac, common"
Q12_T35_step_144_117,1,"step, 144, 117, implies, frac, calculate"
Q12_T36_144i_step_117i,1,"144i, step, 117i, 117, components, calculate"
Q12_T37_step_coefficients_324,1,"step, coefficients, 324, 300, frac, calculate"
