question_id,sample_id,attempt_index,tokenized_trace,is_correct
1,0,0,Q1_T01_can_maximum_find > Q1_T07_given_implies_equations > Q1_T11_mean_real_frac > Q1_T03_substitute_expressions_terms > Q1_T16_denominator_multiply_sides > Q1_T17_inequality_rearrange_solve > Q1_T02_roots_quadratic_frac > Q1_T04_maximum_frac_left > Q1_T08_maximum_value_frac,True
1,1,1,Q1_T01_can_maximum_find > Q1_T05_step_implies_squares > Q1_T06_step_schwarz_apply > Q1_T03_substitute_expressions_terms > Q1_T02_roots_quadratic_frac > Q1_T08_maximum_value_frac,True
1,2,2,Q1_T18_variables_use_maximum > Q1_T19_step_constraints_implies > Q1_T20_relating_step_mean > Q1_T02_roots_quadratic_frac > Q1_T04_maximum_frac_left,True
1,3,3,Q1_T01_can_maximum_find > Q1_T05_step_implies_squares > Q1_T06_step_schwarz_apply > Q1_T03_substitute_expressions_terms > Q1_T02_roots_quadratic_frac > Q1_T08_maximum_value_frac,True
1,4,4,Q1_T01_can_maximum_find > Q1_T05_step_implies_squares > Q1_T06_step_schwarz_apply > Q1_T03_substitute_expressions_terms > Q1_T02_roots_quadratic_frac > Q1_T04_maximum_frac_left,True
1,5,5,Q1_T01_can_maximum_find > Q1_T05_step_implies_squares > Q1_T06_step_schwarz_apply > Q1_T03_substitute_expressions_terms > Q1_T02_roots_quadratic_frac > Q1_T04_maximum_frac_left,True
1,6,6,Q1_T01_can_maximum_find > Q1_T05_step_implies_squares > Q1_T21_step_schwarz_cauchy > Q1_T03_substitute_expressions_terms > Q1_T22_roots_sides_quadratic > Q1_T04_maximum_frac_left,True
1,7,7,Q1_T01_can_maximum_find > Q1_T23_have_problem_statement > Q1_T24_variables_fixed_real > Q1_T25_variables_specifically_expressions > Q1_T09_sides_now_solve > Q1_T02_roots_quadratic_frac > Q1_T12_maximum_occurs_value > Q1_T10_value_maximum_frac,False
1,8,8,Q1_T01_can_maximum_find > Q1_T07_given_implies_equations > Q1_T26_their_need_determine > Q1_T27_according_mean_schwarz > Q1_T28_applying_where_frac > Q1_T03_substitute_expressions_terms > Q1_T09_sides_now_solve > Q1_T13_subtract_16e_both > Q1_T14_rearrange_form_quadratic > Q1_T15_factor_out > Q1_T02_roots_quadratic_frac > Q1_T12_maximum_occurs_value > Q1_T29_144_implies_256 > Q1_T10_value_maximum_frac,True
1,9,9,Q1_T01_can_maximum_find > Q1_T07_given_implies_equations > Q1_T11_mean_real_frac > Q1_T03_substitute_expressions_terms > Q1_T09_sides_now_solve > Q1_T13_subtract_16e_both > Q1_T14_rearrange_form_quadratic > Q1_T15_factor_out > Q1_T02_roots_quadratic_frac > Q1_T30_equality_maximum_times > Q1_T10_value_maximum_frac,True
