token,question_id,question_total_runs,question_success_count,question_baseline_success_rate,n_with_token,n_without_token,succ_with_token,succ_without_token,delta_q
simplify,165,27,22,0.8148148148148148,25,2,0.88,0.0,0.88
simplify,790,28,1,0.03571428571428571,27,1,0.037037037037037035,0.0,0.037037037037037035
simplify,844,28,4,0.14285714285714285,14,14,0.0,0.2857142857142857,-0.2857142857142857
simplify,535,26,14,0.5384615384615384,13,13,0.5384615384615384,0.5384615384615384,0.0
simplify,946,26,19,0.7307692307692307,5,21,0.6,0.7619047619047619,-0.16190476190476188
simplify,1028,25,5,0.2,12,13,0.08333333333333333,0.3076923076923077,-0.2243589743589744
simplify,542,27,14,0.5185185185185185,20,7,0.45,0.7142857142857143,-0.2642857142857143
simplify,185,26,24,0.9230769230769231,25,1,0.96,0.0,0.96
simplify,226,29,21,0.7241379310344828,9,20,1.0,0.6,0.4
simplify,715,26,2,0.07692307692307693,3,23,0.0,0.08695652173913043,-0.08695652173913043
simplify,840,27,14,0.5185185185185185,16,11,0.4375,0.6363636363636364,-0.19886363636363635
simplify,224,7,5,0.7142857142857143,1,6,0.0,0.8333333333333334,-0.8333333333333334
simplify,615,28,26,0.9285714285714286,26,2,1.0,0.0,1.0
simplify,662,27,19,0.7037037037037037,12,15,0.5833333333333334,0.8,-0.21666666666666667
simplify,169,29,26,0.896551724137931,23,6,1.0,0.5,0.5
simplify,1312,26,2,0.07692307692307693,4,22,0.0,0.09090909090909091,-0.09090909090909091
simplify,721,25,16,0.64,10,15,0.8,0.5333333333333333,0.2666666666666667
simplify,842,27,16,0.5925925925925926,25,2,0.64,0.0,0.64
simplify,348,27,25,0.9259259259259259,26,1,0.9230769230769231,1.0,-0.07692307692307687
simplify,391,26,11,0.4230769230769231,21,5,0.47619047619047616,0.2,0.27619047619047615
simplify,522,28,18,0.6428571428571429,8,20,0.75,0.6,0.15000000000000002
simplify,839,25,19,0.76,16,9,0.75,0.7777777777777778,-0.02777777777777779
simplify,622,29,7,0.2413793103448276,12,17,0.4166666666666667,0.11764705882352941,0.2990196078431373
