question_id,sample_id,attempt_index,tokenized_trace,is_correct
0,0,1,Q0_T01_end_begin_pmatrix > Q0_T04_line_point_reflection > Q0_T01_end_begin_pmatrix,False
0,1,3,Q0_T01_end_begin_pmatrix > Q0_T04_line_point_reflection > Q0_T01_end_begin_pmatrix,False
0,2,4,Q0_T03_begin_vector_find > Q0_T05_maps_point_axis > Q0_T02_end_begin_pmatrix > Q0_T02_end_begin_pmatrix > Q0_T09_end_begin_vector > Q0_T06_slope_axis_frac > Q0_T02_end_begin_pmatrix,False
0,3,5,Q0_T10_vector_which_determine > Q0_T01_end_begin_pmatrix > Q0_T01_end_begin_pmatrix > Q0_T11_intersection_line_point > Q0_T02_end_begin_pmatrix,False
0,4,7,Q0_T01_end_begin_pmatrix > Q0_T04_line_point_reflection > Q0_T01_end_begin_pmatrix > Q0_T01_end_begin_pmatrix,True
0,5,8,Q0_T03_begin_vector_find > Q0_T01_end_begin_pmatrix > Q0_T01_end_begin_pmatrix,False
0,6,9,Q0_T01_end_begin_pmatrix > Q0_T01_end_begin_pmatrix > Q0_T01_end_begin_pmatrix > Q0_T07_line_equation_reflection > Q0_T01_end_begin_pmatrix,False
0,7,10,Q0_T01_end_begin_pmatrix > Q0_T01_end_begin_pmatrix > Q0_T01_end_begin_pmatrix > Q0_T07_line_equation_reflection > Q0_T12_line_mathbf_step > Q0_T01_end_begin_pmatrix,False
0,8,11,Q0_T03_begin_vector_find > Q0_T13_end_begin_step > Q0_T06_slope_axis_frac > Q0_T01_end_begin_pmatrix,False
0,9,12,Q0_T03_begin_vector_find > Q0_T05_maps_point_axis > Q0_T02_end_begin_pmatrix > Q0_T08_step_slope_determine > Q0_T08_step_slope_determine > Q0_T14_point_step_slope > Q0_T01_end_begin_pmatrix,False
