question_id,question_total_runs,question_success_count,question_baseline_success_rate
114,26,25,0.9615384615384616
120,27,20,0.7407407407407407
150,25,2,0.08
165,26,22,0.8461538461538461
167,28,26,0.9285714285714286
169,29,26,0.896551724137931
172,19,18,0.9473684210526315
183,29,26,0.896551724137931
185,26,24,0.9230769230769231
189,17,1,0.058823529411764705
195,25,23,0.92
214,24,1,0.041666666666666664
224,6,2,0.3333333333333333
226,29,21,0.7241379310344828
252,30,20,0.6666666666666666
279,20,7,0.35
291,26,20,0.7692307692307693
348,29,25,0.8620689655172413
369,22,6,0.2727272727272727
45,25,23,0.92
49,26,25,0.9615384615384616
52,30,26,0.8666666666666667
68,27,17,0.6296296296296297
92,26,2,0.07692307692307693
