question_id,n_total,n_correct,n_incorrect,mean_len_correct,mean_len_incorrect,median_len_correct,median_len_incorrect,delta_mean_correct_minus_incorrect,cohen_d,common_language_effect,permutation_p_two_sided,direction
100,20,0,20,,,,,,,,,insufficient_data
1000,23,4,19,1433.5,2002.2631578947369,17.0,20,-568.7631578947369,-0.21459708339206104,0.5131578947368421,0.7986006996501749,incorrect_longer
1002,26,18,8,9.333333333333334,6.125,9.5,6.0,3.208333333333334,1.4664671608959465,0.8784722222222222,0.0029985007496251873,correct_longer
1020,20,10,10,14.5,15.7,14.0,16.0,-1.1999999999999993,-0.2341912366772862,0.415,0.6516741629185407,incorrect_longer
1025,22,10,12,203.8,24.25,37.0,26.0,179.55,0.5032180494152023,0.8416666666666667,0.004997501249375313,correct_longer
1028,23,4,19,9.0,6.684210526315789,9.0,7,2.3157894736842106,1.2497560269015693,0.9210526315789473,0.02948525737131434,correct_longer
1033,23,0,23,,,,,,,,,insufficient_data
1060,25,2,23,10.0,386.69565217391306,10.0,13,-376.69565217391306,-0.3108842074144567,0.18478260869565216,0.24437781109445278,incorrect_longer
1095,26,26,0,,,,,,,,,insufficient_data
1121,23,5,18,695.0,310.77777777777777,17,11.5,384.22222222222223,0.29037207559889305,0.6666666666666666,0.8685657171414293,correct_longer
1122,23,0,23,,,,,,,,,insufficient_data
1132,25,0,25,,,,,,,,,insufficient_data
1139,24,3,21,17.666666666666668,514.4285714285714,17,14,-496.76190476190476,-0.3278781548798753,0.7142857142857143,0.9695152423788106,incorrect_longer
114,24,24,0,,,,,,,,,insufficient_data
1142,25,5,20,13.6,623.7,13,14.0,-610.1,-0.45086962487237425,0.36,0.2863568215892054,incorrect_longer
1147,27,20,7,11.05,9.428571428571429,11.0,9,1.6214285714285719,0.8708588003227004,0.7821428571428571,0.06846576711644178,correct_longer
1155,23,8,15,18.625,664.3333333333334,19.5,17,-645.7083333333334,-0.4548126309841613,0.55,0.48075962018990503,incorrect_longer
1164,21,13,8,605.6923076923077,17.625,20,19.5,588.0673076923077,0.5767535948158145,0.5528846153846154,0.24187906046976512,correct_longer
120,24,19,5,12.0,243.4,11,18,-231.4,-1.0706491573523547,0.15789473684210525,0.0034982508745627187,incorrect_longer
1201,20,1,19,,,,,,,,,insufficient_data
150,21,2,19,16.5,212.10526315789474,16.5,22,-195.60526315789474,-0.43807519821091767,0.23684210526315788,0.46526736631684157,incorrect_longer
165,26,22,4,11.136363636363637,1426.25,11.5,11.5,-1415.1136363636363,-1.4134095810218916,0.4715909090909091,0.13393303348325838,incorrect_longer
167,27,26,1,,,,,,,,,insufficient_data
169,25,24,1,,,,,,,,,insufficient_data
172,26,26,0,,,,,,,,,insufficient_data
183,27,26,1,,,,,,,,,insufficient_data
185,24,24,0,,,,,,,,,insufficient_data
189,23,0,23,,,,,,,,,insufficient_data
195,28,27,1,,,,,,,,,insufficient_data
214,25,0,25,,,,,,,,,insufficient_data
222,25,1,24,,,,,,,,,insufficient_data
224,26,11,15,13.545454545454545,491.73333333333335,12,12,-478.1878787878788,-0.4929448699123912,0.4818181818181818,0.4002998500749625,incorrect_longer
226,24,20,4,5.4,7.75,5.0,6.0,-2.3499999999999996,-1.1276228219915052,0.375,0.11144427786106946,incorrect_longer
250,26,26,0,,,,,,,,,insufficient_data
252,26,19,7,66.78947368421052,7.285714285714286,7,7,59.503759398496236,0.266843891952062,0.5075187969924813,0.6591704147926037,correct_longer
266,26,0,26,,,,,,,,,insufficient_data
270,24,24,0,,,,,,,,,insufficient_data
279,22,7,15,16.571428571428573,17.866666666666667,17,18,-1.2952380952380942,-0.25713961987964906,0.4142857142857143,0.5972013993003499,incorrect_longer
291,23,20,3,9.5,12.0,9.0,9,-2.5,-0.8812645567222769,0.4166666666666667,0.15292353823088456,incorrect_longer
343,25,0,25,,,,,,,,,insufficient_data
348,27,25,2,8.08,9.0,8,9.0,-0.9199999999999999,-0.7287828881031495,0.14,0.21039480259870064,incorrect_longer
369,22,5,17,6.4,5.647058823529412,6,6,0.7529411764705882,1.0114864227040319,0.7588235294117647,0.09245377311344327,correct_longer
375,24,20,4,14.55,12.0,14.5,13.0,2.5500000000000007,0.6635035489974684,0.65,0.2688655672163918,correct_longer
391,25,10,15,22.2,93.26666666666667,25.5,16,-71.06666666666666,-0.324682929108106,0.5966666666666667,0.7681159420289855,incorrect_longer
414,25,24,1,,,,,,,,,insufficient_data
415,20,18,2,205.0,15.0,18.5,15.0,190.0,0.24727758944949238,0.7638888888888888,0.2478760619690155,correct_longer
445,20,0,20,,,,,,,,,insufficient_data
447,25,21,4,11.19047619047619,6.75,12,7.0,4.44047619047619,1.380434635108296,0.8333333333333334,0.02498750624687656,correct_longer
45,25,25,0,,,,,,,,,insufficient_data
466,25,5,20,8.2,8.45,8,8.5,-0.25,-0.13597332819603775,0.465,0.8975512243878061,incorrect_longer
468,26,25,1,,,,,,,,,insufficient_data
485,22,5,17,618.6,122.52941176470588,61,23,496.07058823529417,0.7728967899423783,0.8470588235294118,0.09345327336331834,correct_longer
49,25,25,0,,,,,,,,,insufficient_data
492,25,25,0,,,,,,,,,insufficient_data
495,26,16,10,12.0,10.6,12.0,11.0,1.4000000000000004,0.7059072777254553,0.6625,0.1089455272363818,correct_longer
52,27,26,1,,,,,,,,,insufficient_data
522,25,17,8,266.6470588235294,22.375,27,26.0,244.2720588235294,0.2947009023167167,0.5698529411764706,0.44127936031984005,correct_longer
530,25,25,0,,,,,,,,,insufficient_data
535,24,14,10,21.142857142857142,518.3,22.5,14.5,-497.1571428571428,-0.4878265786698081,0.675,0.38980509745127434,incorrect_longer
542,22,12,10,772.0,498.6,14.0,14.5,273.4,0.16354966577493613,0.525,0.9080459770114943,correct_longer
554,26,25,1,,,,,,,,,insufficient_data
561,26,22,4,11.636363636363637,8.75,11.0,8.5,2.8863636363636367,1.0262703050815154,0.8125,0.06996501749125437,correct_longer
573,26,20,6,14.45,14.5,15.0,15.0,-0.05000000000000071,-0.01997006733169206,0.4625,1.0,incorrect_longer
605,25,13,12,24.307692307692307,116.83333333333333,22,24.0,-92.52564102564102,-0.40800571257190343,0.46474358974358976,0.3828085957021489,incorrect_longer
609,22,18,4,11.055555555555555,9.75,11.0,10.5,1.3055555555555554,0.6801316423822319,0.6041666666666666,0.2538730634682659,correct_longer
615,27,26,1,,,,,,,,,insufficient_data
622,27,7,20,15.0,10.25,14,12.0,4.75,1.400089980973328,0.8892857142857142,0.0029985007496251873,correct_longer
662,27,19,8,14.0,15.25,14,13.0,-1.25,-0.3287198018988856,0.5921052631578947,0.47926036981509246,incorrect_longer
68,24,16,8,9.75,10.25,10.0,9.5,-0.5,-0.19116707482811696,0.46875,0.6786606696651675,incorrect_longer
702,24,0,24,,,,,,,,,insufficient_data
715,24,1,23,,,,,,,,,insufficient_data
716,27,23,4,11.521739130434783,9.0,11,9.0,2.521739130434783,1.488648306784102,0.7554347826086957,0.030984507746126936,correct_longer
721,24,16,8,10.4375,9.75,10.0,9.5,0.6875,0.28791901507655016,0.5625,0.5602198900549725,correct_longer
740,25,1,24,,,,,,,,,insufficient_data
790,26,1,25,,,,,,,,,insufficient_data
804,24,0,24,,,,,,,,,insufficient_data
827,23,2,21,13.0,172.57142857142858,13.0,14,-159.57142857142858,-0.22388179261974386,0.47619047619047616,0.5662168915542228,incorrect_longer
834,25,2,23,14.0,418.7391304347826,14.0,13,-404.7391304347826,-0.3736724771879834,0.5108695652173914,0.767616191904048,incorrect_longer
839,25,19,6,14.473684210526315,11.0,15,11.5,3.473684210526315,1.1368442552439249,0.7236842105263158,0.02948525737131434,correct_longer
840,23,11,12,13.636363636363637,1347.5833333333333,12,18.5,-1333.9469696969695,-0.9311504078917869,0.17424242424242425,0.051974012993503245,incorrect_longer
842,20,14,6,13.428571428571429,11.5,13.5,11.5,1.9285714285714288,0.5504856963360478,0.6726190476190477,0.29735132433783107,correct_longer
844,19,4,15,1173.5,2635.266666666667,29.0,3261,-1461.7666666666669,-0.6986711946312117,0.4,0.23338330834582707,incorrect_longer
851,26,3,23,13.0,9.91304347826087,12,10,3.086956521739131,0.782170317937421,0.782608695652174,0.2303848075962019,correct_longer
864,26,11,15,11.181818181818182,550.8,11,11,-539.6181818181818,-0.4941714190725477,0.5484848484848485,0.4707646176911544,incorrect_longer
876,24,5,19,16.6,329.7368421052632,16,13,-313.13684210526316,-0.34303234882316674,0.6210526315789474,0.7736131934032984,incorrect_longer
880,26,8,18,11.875,15.61111111111111,13.0,16.0,-3.7361111111111107,-0.7726536239388134,0.2986111111111111,0.07396301849075462,incorrect_longer
887,25,12,13,623.9166666666666,330.53846153846155,28.5,28,293.3782051282051,0.232344736959399,0.5608974358974359,0.5022488755622189,correct_longer
899,22,0,22,,,,,,,,,insufficient_data
92,25,2,23,10.5,9.347826086956522,10.5,9,1.1521739130434785,1.3127501222378857,0.8586956521739131,0.1359320339830085,correct_longer
923,24,2,22,11.5,431.72727272727275,11.5,20.5,-420.22727272727275,-0.29637092720562935,0.07954545454545454,0.18940529735132433,incorrect_longer
944,24,1,23,,,,,,,,,insufficient_data
946,25,19,6,11.421052631578947,9.833333333333334,8,7.5,1.587719298245613,0.2676323622731572,0.5701754385964912,0.5887056471764118,correct_longer
950,26,22,4,11.590909090909092,9.25,11.0,9.0,2.3409090909090917,1.7275379746047657,0.6988636363636364,0.017991004497751123,correct_longer
956,25,2,23,2902.5,14.73913043478261,2902.5,17,2887.7608695652175,3.3937482440628015,0.782608695652174,0.04697651174412794,correct_longer
983,26,25,1,,,,,,,,,insufficient_data
997,25,0,25,,,,,,,,,insufficient_data
