question_id,sample_id,gold_answer,predicted_answer,is_correct,tokenized_trace,trace_id,tokens,trace_len
45,0,2,2,True,analyze apply-formula rewrite compute instantiate apply-formula compute compute conclude,45:0,analyze|apply-formula|rewrite|compute|instantiate|apply-formula|compute|compute|conclude,9
45,1,2,2,True,analyze instantiate apply-formula rewrite compute compute compute compute compute rewrite compute conclude,45:1,analyze|instantiate|apply-formula|rewrite|compute|compute|compute|compute|compute|rewrite|compute|conclude,12
45,2,2,2,True,analyze instantiate rewrite compute apply-formula compute conclude,45:2,analyze|instantiate|rewrite|compute|apply-formula|compute|conclude,7
45,3,2,2,True,analyze apply-formula rewrite compute apply-formula compute rewrite compute conclude,45:3,analyze|apply-formula|rewrite|compute|apply-formula|compute|rewrite|compute|conclude,9
45,4,2,2,True,analyze rewrite rewrite compute conclude,45:4,analyze|rewrite|rewrite|compute|conclude,5
45,5,2,2,True,analyze analyze analyze apply-formula rewrite rewrite compute compute compute compute compute compute compute conclude,45:5,analyze|analyze|analyze|apply-formula|rewrite|rewrite|compute|compute|compute|compute|compute|compute|compute|conclude,14
45,6,2,2,True,analyze apply-formula rewrite compute instantiate apply-formula compute compute compute compute apply-formula compute conclude,45:6,analyze|apply-formula|rewrite|compute|instantiate|apply-formula|compute|compute|compute|compute|apply-formula|compute|conclude,13
45,7,2,2,True,analyze apply-formula rewrite compute conclude,45:7,analyze|apply-formula|rewrite|compute|conclude,5
45,8,2,2,True,analyze analyze analyze apply-formula rewrite rewrite compute apply-formula rewrite compute compute rewrite compute conclude,45:8,analyze|analyze|analyze|apply-formula|rewrite|rewrite|compute|apply-formula|rewrite|compute|compute|rewrite|compute|conclude,14
45,10,2,2,True,analyze apply-formula rewrite compute apply-formula rewrite compute conclude,45:10,analyze|apply-formula|rewrite|compute|apply-formula|rewrite|compute|conclude,8
45,11,2,2,True,analyze apply-formula rewrite compute apply-formula compute apply-formula compute conclude,45:11,analyze|apply-formula|rewrite|compute|apply-formula|compute|apply-formula|compute|conclude,9
45,12,2,2,True,analyze instantiate rewrite rewrite compute apply-formula rewrite compute rewrite compute conclude,45:12,analyze|instantiate|rewrite|rewrite|compute|apply-formula|rewrite|compute|rewrite|compute|conclude,11
45,13,2,2,True,analyze apply-formula rewrite compute instantiate apply-formula compute compute conclude,45:13,analyze|apply-formula|rewrite|compute|instantiate|apply-formula|compute|compute|conclude,9
45,14,2,2,True,analyze instantiate rewrite compute apply-formula compute conclude,45:14,analyze|instantiate|rewrite|compute|apply-formula|compute|conclude,7
45,15,2,2,True,analyze analyze apply-formula rewrite rewrite compute conclude,45:15,analyze|analyze|apply-formula|rewrite|rewrite|compute|conclude,7
45,17,2,2,True,analyze apply-formula rewrite instantiate apply-formula compute compute conclude,45:17,analyze|apply-formula|rewrite|instantiate|apply-formula|compute|compute|conclude,8
45,18,2,2,True,analyze apply-formula rewrite compute apply-formula rewrite compute conclude,45:18,analyze|apply-formula|rewrite|compute|apply-formula|rewrite|compute|conclude,8
45,19,2,2,True,analyze rewrite apply-formula rewrite compute compute check-constraint compute compute compute conclude,45:19,analyze|rewrite|apply-formula|rewrite|compute|compute|check-constraint|compute|compute|compute|conclude,11
45,21,2,2,True,analyze instantiate apply-formula rewrite compute compute compute compute check-constraint compute compute conclude,45:21,analyze|instantiate|apply-formula|rewrite|compute|compute|compute|compute|check-constraint|compute|compute|conclude,12
45,22,2,2,True,analyze analyze apply-formula rewrite compute rewrite compute conclude,45:22,analyze|analyze|apply-formula|rewrite|compute|rewrite|compute|conclude,8
45,23,2,2,True,analyze apply-formula rewrite rewrite instantiate apply-formula compute conclude,45:23,analyze|apply-formula|rewrite|rewrite|instantiate|apply-formula|compute|conclude,8
45,25,2,2,True,analyze apply-formula rewrite instantiate apply-formula compute apply-formula compute conclude,45:25,analyze|apply-formula|rewrite|instantiate|apply-formula|compute|apply-formula|compute|conclude,9
45,26,2,2,True,analyze rewrite rewrite apply-formula conclude,45:26,analyze|rewrite|rewrite|apply-formula|conclude,5
45,27,2,2,True,analyze apply-formula rewrite check-constraint rewrite compute conclude,45:27,analyze|apply-formula|rewrite|check-constraint|rewrite|compute|conclude,7
45,29,2,2,True,analyze instantiate apply-formula rewrite compute compute compute compute check-constraint compute rewrite compute conclude,45:29,analyze|instantiate|apply-formula|rewrite|compute|compute|compute|compute|check-constraint|compute|rewrite|compute|conclude,13
49,0,83,83,True,analyze apply-formula simplify isolate simplify isolate simplify conclude,49:0,analyze|apply-formula|simplify|isolate|simplify|isolate|simplify|conclude,8
49,1,83,83,True,analyze apply-formula simplify isolate simplify isolate simplify conclude,49:1,analyze|apply-formula|simplify|isolate|simplify|isolate|simplify|conclude,8
49,2,83,83,True,analyze apply-formula rewrite simplify isolate compute conclude,49:2,analyze|apply-formula|rewrite|simplify|isolate|compute|conclude,7
49,3,83,83,True,analyze apply-formula simplify isolate simplify isolate simplify conclude,49:3,analyze|apply-formula|simplify|isolate|simplify|isolate|simplify|conclude,8
49,4,83,83,True,analyze instantiate apply-formula rewrite simplify isolate compute isolate compute conclude,49:4,analyze|instantiate|apply-formula|rewrite|simplify|isolate|compute|isolate|compute|conclude,10
49,5,83,83,True,analyze rewrite apply-formula simplify isolate compute simplify isolate compute conclude,49:5,analyze|rewrite|apply-formula|simplify|isolate|compute|simplify|isolate|compute|conclude,10
49,7,83,83,True,analyze apply-formula simplify isolate compute simplify isolate compute simplify conclude,49:7,analyze|apply-formula|simplify|isolate|compute|simplify|isolate|compute|simplify|conclude,10
49,8,83,83,True,analyze apply-formula simplify isolate compute simplify compute conclude,49:8,analyze|apply-formula|simplify|isolate|compute|simplify|compute|conclude,8
49,9,83,83,True,analyze apply-formula rewrite isolate compute conclude,49:9,analyze|apply-formula|rewrite|isolate|compute|conclude,6
49,10,83,83,True,analyze apply-formula simplify isolate simplify compute conclude,49:10,analyze|apply-formula|simplify|isolate|simplify|compute|conclude,7
49,11,83,83,True,analyze apply-formula apply-formula rewrite isolate simplify compute conclude,49:11,analyze|apply-formula|apply-formula|rewrite|isolate|simplify|compute|conclude,8
49,12,83,83,True,analyze instantiate rewrite apply-formula rewrite isolate compute conclude,49:12,analyze|instantiate|rewrite|apply-formula|rewrite|isolate|compute|conclude,8
49,13,83,83,True,analyze rewrite apply-formula simplify isolate simplify isolate simplify conclude,49:13,analyze|rewrite|apply-formula|simplify|isolate|simplify|isolate|simplify|conclude,9
49,14,83,83,True,analyze apply-formula simplify apply-formula simplify isolate simplify compute conclude,49:14,analyze|apply-formula|simplify|apply-formula|simplify|isolate|simplify|compute|conclude,9
49,15,83,83,True,analyze apply-formula rewrite apply-formula isolate compute isolate compute conclude,49:15,analyze|apply-formula|rewrite|apply-formula|isolate|compute|isolate|compute|conclude,9
49,17,83,83,True,analyze apply-formula simplify isolate simplify isolate simplify conclude,49:17,analyze|apply-formula|simplify|isolate|simplify|isolate|simplify|conclude,8
49,18,83,83,True,analyze rewrite apply-formula rewrite simplify isolate compute conclude,49:18,analyze|rewrite|apply-formula|rewrite|simplify|isolate|compute|conclude,8
49,19,83,83,True,analyze apply-formula rewrite simplify isolate compute isolate compute conclude,49:19,analyze|apply-formula|rewrite|simplify|isolate|compute|isolate|compute|conclude,9
49,21,83,83,True,analyze apply-formula simplify isolate compute simplify isolate compute simplify conclude,49:21,analyze|apply-formula|simplify|isolate|compute|simplify|isolate|compute|simplify|conclude,10
49,22,83,83,True,analyze apply-formula simplify isolate compute simplify isolate compute simplify conclude,49:22,analyze|apply-formula|simplify|isolate|compute|simplify|isolate|compute|simplify|conclude,10
49,23,83,83,True,analyze apply-formula rewrite simplify isolate compute conclude,49:23,analyze|apply-formula|rewrite|simplify|isolate|compute|conclude,7
49,25,83,83,True,analyze apply-formula simplify isolate simplify isolate simplify conclude,49:25,analyze|apply-formula|simplify|isolate|simplify|isolate|simplify|conclude,8
49,26,83,83,True,analyze apply-formula simplify isolate simplify isolate simplify conclude,49:26,analyze|apply-formula|simplify|isolate|simplify|isolate|simplify|conclude,8
49,27,83,83,True,analyze apply-formula apply-formula rewrite simplify isolate compute conclude,49:27,analyze|apply-formula|apply-formula|rewrite|simplify|isolate|compute|conclude,8
49,29,83,83,True,analyze apply-formula simplify isolate compute simplify isolate compute simplify conclude,49:29,analyze|apply-formula|simplify|isolate|compute|simplify|isolate|compute|simplify|conclude,10
52,0,12,12,True,derive-intermediate compute compute derive-intermediate compute derive-intermediate rewrite simplify conclude,52:0,derive-intermediate|compute|compute|derive-intermediate|compute|derive-intermediate|rewrite|simplify|conclude,9
52,1,12,12,True,derive-intermediate compute compute derive-intermediate compute rewrite simplify conclude,52:1,derive-intermediate|compute|compute|derive-intermediate|compute|rewrite|simplify|conclude,8
52,2,12,12,True,derive-intermediate compute compute compute derive-intermediate compute simplify conclude,52:2,derive-intermediate|compute|compute|compute|derive-intermediate|compute|simplify|conclude,8
52,3,12,12,True,derive-intermediate compute compute derive-intermediate compute derive-intermediate simplify conclude,52:3,derive-intermediate|compute|compute|derive-intermediate|compute|derive-intermediate|simplify|conclude,8
52,4,12,12,True,derive-intermediate compute compute compute derive-intermediate compute rewrite simplify conclude,52:4,derive-intermediate|compute|compute|compute|derive-intermediate|compute|rewrite|simplify|conclude,9
52,5,12,12,True,compute compute compute derive-intermediate compute simplify conclude,52:5,compute|compute|compute|derive-intermediate|compute|simplify|conclude,7
52,6,12,12,True,derive-intermediate compute compute derive-intermediate compute simplify conclude,52:6,derive-intermediate|compute|compute|derive-intermediate|compute|simplify|conclude,7
52,7,12,12,True,derive-intermediate compute compute compute derive-intermediate compute rewrite simplify conclude,52:7,derive-intermediate|compute|compute|compute|derive-intermediate|compute|rewrite|simplify|conclude,9
52,8,12,12,True,derive-intermediate compute compute derive-intermediate compute simplify conclude,52:8,derive-intermediate|compute|compute|derive-intermediate|compute|simplify|conclude,7
52,10,12,12,True,derive-intermediate compute compute compute derive-intermediate compute simplify conclude,52:10,derive-intermediate|compute|compute|compute|derive-intermediate|compute|simplify|conclude,8
