question_id,sample_id,gold_answer,predicted_answer,is_correct,tokenized_trace
0,0,104,16,False,analyze apply_formula instantiate instantiate apply_formula rewrite analyze apply_formula compute simplify derive_intermediate apply_formula rewrite simplify rewrite
0,1,104,49,False,analyze derive_intermediate apply_formula instantiate instantiate rewrite instantiate instantiate rewrite instantiate instantiate rewrite instantiate instantiate rewrite apply_formula instantiate rewrite derive_intermediate instantiate simplify instantiate compute conclude
0,2,104,9,False,analyze analyze apply_formula instantiate rewrite compute compute compute analyze apply_formula instantiate instantiate apply_formula compute derive_intermediate compute simplify conclude
0,3,104,None,False,MISSING
0,4,104,383,False,analyze apply_formula instantiate compute simplify compute compute compute check_constraint compute compute apply_formula instantiate simplify apply_formula simplify instantiate compute conclude
0,5,104,28,False,analyze analyze apply_formula instantiate rewrite apply_formula simplify compute compute compute compute compute analyze apply_formula instantiate apply_formula derive_intermediate derive_intermediate compute simplify conclude
0,6,104,No valid answer found,False,analyze instantiate analyze
0,7,104,9,False,analyze instantiate apply_formula instantiate apply_formula analyze instantiate instantiate compute simplify instantiate compute conclude
0,8,104,None,False,MISSING
0,9,104,12,False,analyze apply_formula instantiate rewrite instantiate apply_formula instantiate apply_formula compute instantiate apply_formula rewrite compute simplify derive_intermediate compute conclude
0,10,104,10,False,analyze instantiate derive_intermediate analyze instantiate apply_formula simplify analyze instantiate apply_formula simplify compute compute apply_formula compute derive_intermediate simplify conclude
0,11,104,None,False,analyze apply_formula simplify compute compute compute compute compute compute apply_formula derive_intermediate
0,12,104,198,False,analyze apply_formula analyze apply_formula instantiate instantiate apply_formula instantiate instantiate apply_formula instantiate instantiate apply_formula instantiate instantiate apply_formula apply_formula instantiate rewrite instantiate compute
0,13,104,12,False,analyze apply_formula rewrite compute simplify compute analyze apply_formula instantiate apply_formula compute analyze rewrite simplify compute analyze instantiate analyze compute conclude
0,14,104,No valid answer found,False,analyze
0,15,104,10,False,analyze apply_formula instantiate instantiate apply_formula rewrite instantiate instantiate apply_formula instantiate instantiate apply_formula instantiate instantiate apply_formula derive_intermediate apply_formula rewrite compute rewrite analyze
0,16,104,517,False,analyze apply_formula instantiate rewrite compute simplify compute analyze apply_formula instantiate instantiate simplify compute compute apply_formula instantiate conclude
0,17,104,None,False,analyze apply_formula instantiate instantiate simplify
0,18,104,23,False,analyze analyze apply_formula analyze apply_formula instantiate rewrite instantiate analyze apply_formula instantiate apply_formula compute derive_intermediate compute rewrite instantiate compute
0,19,104,None,False,MISSING
0,20,104,12,False,analyze analyze apply_formula instantiate compute simplify compute compute compute analyze apply_formula instantiate instantiate rewrite compute derive_intermediate compute instantiate compute conclude
0,21,104,86,False,analyze instantiate analyze apply_formula apply_formula rewrite analyze compute simplify analyze apply_formula instantiate rewrite simplify apply_formula simplify derive_intermediate simplify simplify instantiate compute conclude
0,22,104,68,False,analyze analyze analyze apply_formula instantiate apply_formula simplify analyze apply_formula instantiate analyze rewrite analyze guess instantiate compute conclude
0,23,104,2982,False,analyze apply_formula compute simplify compute compute compute apply_formula compute apply_formula compute compute conclude
0,24,104,104,True,instantiate analyze analyze derive_intermediate analyze
0,25,104,None,False,MISSING
0,26,104,25,False,analyze apply_formula analyze apply_formula instantiate apply_formula analyze instantiate instantiate apply_formula analyze apply_formula apply_formula rewrite compute compute compute analyze apply_formula instantiate apply_formula simplify compute rewrite simplify conclude
0,27,104,71,False,analyze analyze instantiate apply_formula apply_formula rewrite compute apply_formula instantiate apply_formula analyze derive_intermediate apply_formula compute simplify instantiate compute conclude
0,28,104,null,False,analyze apply_formula apply_formula compute simplify compute
0,29,104,None,False,MISSING
1,0,294,1080,False,
1,1,294,1365,False,
1,2,294,455,False,
1,3,294,1365,False,
1,4,294,None,False,
1,5,294,64350,False,
1,6,294,294,True,
1,7,294,None,False,
1,8,294,49000,False,
1,9,294,1225,False,
1,10,294,294,True,
1,11,294,1365,False,
1,12,294,1365,False,
1,13,294,294,True,
1,14,294,2,False,
1,15,294,No valid answer found,False,
1,16,294,10,False,
1,17,294,None,False,
1,18,294,102960,False,
1,19,294,2,False,
1,20,294,1365,False,
1,21,294,null,False,
1,22,294,null,False,
1,23,294,1365,False,
1,24,294,1365,False,
1,25,294,6,False,
1,26,294,294,True,
1,27,294,6,False,
1,28,294,None,False,
1,29,294,51480,False,
2,0,540,549.54,False,
2,1,540,600,False,
2,2,540,540,True,
2,3,540,None,False,
2,4,540,540,True,
2,5,540,540,True,
2,6,540,325,False,
2,7,540,12\sqrt{195} + 24,False,
2,8,540,448,False,
2,9,540,744,False,
2,10,540,1028.32,False,
2,11,540,3\sqrt{1818},False,
2,12,540,594,False,
2,13,540,600,False,
2,14,540,324,False,
2,15,540,9\sqrt{277},False,
2,16,540,None,False,
2,17,540,540,True,
2,18,540,540,True,
2,19,540,562,False,
2,20,540,599.16,False,
2,21,540,None,False,
2,22,540,540,True,
2,23,540,None,False,
2,24,540,540,True,
2,25,540,540,True,
2,26,540,682,False,
