token,num_sections,keywords
Q25_T01_vector_pmatrix_end,12,"vector, pmatrix, end, begin, vec, direction, calculate, line"
Q25_T02_vector_need_find,10,"vector, need, find, value, direction, pmatrix, determine"
Q25_T03_line_point_points,7,"line, point, points, two, step, identify, defined, code"
Q25_T04_end_begin_vector,7,"end, begin, vector, frac, pmatrix, cdot, component, direction"
Q25_T05_slope_delta_pmatrix,2,"slope, delta, pmatrix, frac, component, using, vector, direction"
Q25_T06_line_point_coordinate,1,"line, point, coordinate, points, grid, frac"
Q25_T07_step_component_equation,1,"step, component, equation, frac, left, right"
Q25_T08_line_point_units,1,"line, point, units, points, diagram, defined"
Q25_T09_line_point_points,1,"line, point, points, passing, through, code"
Q25_T10_line_step_slope,1,"line, step, slope, points, frac, calculate"
Q25_T11_end_begin_times,1,"end, begin, times, frac, pmatrix, both"
Q25_T12_end_begin_vector,1,"end, begin, vector, form, given, pmatrix"
