question_id,sample_id,source
45,0,gpt-oss-tokenized-traces.csv
45,1,gpt-oss-tokenized-traces.csv
45,2,gpt-oss-tokenized-traces.csv
45,3,gpt-oss-tokenized-traces.csv
45,4,gpt-oss-tokenized-traces.csv
45,5,gpt-oss-tokenized-traces.csv
45,6,gpt-oss-tokenized-traces.csv
45,7,gpt-oss-tokenized-traces.csv
45,8,clean_expanded..._gpt-oss-120b_0.csv
45,9,gpt-oss-tokenized-traces.csv
45,10,clean_expanded..._gpt-oss-120b_0.csv
45,11,gpt-oss-tokenized-traces.csv
45,12,gpt-oss-tokenized-traces.csv
45,13,gpt-oss-tokenized-traces.csv
45,14,gpt-oss-tokenized-traces.csv
45,15,gpt-oss-tokenized-traces.csv
45,16,gpt-oss-tokenized-traces.csv
45,17,gpt-oss-tokenized-traces.csv
45,18,gpt-oss-tokenized-traces.csv
45,19,gpt-oss-tokenized-traces.csv
45,20,MISSING
45,21,gpt-oss-tokenized-traces.csv
45,22,gpt-oss-tokenized-traces.csv
45,23,gpt-oss-tokenized-traces.csv
45,24,MISSING
45,25,gpt-oss-tokenized-traces.csv
45,26,gpt-oss-tokenized-traces.csv
45,27,gpt-oss-tokenized-traces.csv
45,28,MISSING
45,29,gpt-oss-tokenized-traces.csv
49,0,gpt-oss-tokenized-traces.csv
49,1,gpt-oss-tokenized-traces.csv
49,2,gpt-oss-tokenized-traces.csv
49,3,gpt-oss-tokenized-traces.csv
49,4,gpt-oss-tokenized-traces.csv
49,5,gpt-oss-tokenized-traces.csv
49,6,MISSING
49,7,gpt-oss-tokenized-traces.csv
49,8,gpt-oss-tokenized-traces.csv
49,9,gpt-oss-tokenized-traces.csv
49,10,gpt-oss-tokenized-traces.csv
49,11,gpt-oss-tokenized-traces.csv
49,12,gpt-oss-tokenized-traces.csv
49,13,gpt-oss-tokenized-traces.csv
49,14,gpt-oss-tokenized-traces.csv
49,15,gpt-oss-tokenized-traces.csv
49,16,clean_expanded..._gpt-oss-120b_0.csv
49,17,gpt-oss-tokenized-traces.csv
49,18,gpt-oss-tokenized-traces.csv
49,19,gpt-oss-tokenized-traces.csv
49,20,MISSING
49,21,gpt-oss-tokenized-traces.csv
49,22,gpt-oss-tokenized-traces.csv
49,23,gpt-oss-tokenized-traces.csv
49,24,gpt-oss-tokenized-traces.csv
49,25,gpt-oss-tokenized-traces.csv
49,26,gpt-oss-tokenized-traces.csv
49,27,gpt-oss-tokenized-traces.csv
49,28,MISSING
49,29,gpt-oss-tokenized-traces.csv
52,0,gpt-oss-tokenized-traces.csv
52,1,gpt-oss-tokenized-traces.csv
52,2,gpt-oss-tokenized-traces.csv
52,3,gpt-oss-tokenized-traces.csv
52,4,gpt-oss-tokenized-traces.csv
52,5,gpt-oss-tokenized-traces.csv
52,6,gpt-oss-tokenized-traces.csv
52,7,gpt-oss-tokenized-traces.csv
52,8,gpt-oss-tokenized-traces.csv
52,9,gpt-oss-tokenized-traces.csv
52,10,gpt-oss-tokenized-traces.csv
52,11,gpt-oss-tokenized-traces.csv
52,12,gpt-oss-tokenized-traces.csv
52,13,gpt-oss-tokenized-traces.csv
52,14,gpt-oss-tokenized-traces.csv
52,15,gpt-oss-tokenized-traces.csv
52,16,gpt-oss-tokenized-traces.csv
52,17,gpt-oss-tokenized-traces.csv
