question_id,sample_id,gold_answer,predicted_answer,is_correct
45,8,2,2,True
45,10,2,2,True
45,20,2,__LLM_VALIDATED_WRONG__,False
45,24,2,__LLM_VALIDATED_WRONG__,False
45,28,2,__LLM_VALIDATED_WRONG__,False
49,6,83,__LLM_VALIDATED_WRONG__,False
49,16,83,83,True
49,20,83,__LLM_VALIDATED_WRONG__,False
49,28,83,__LLM_VALIDATED_WRONG__,False
68,7,46,__LLM_VALIDATED_WRONG__,False
68,16,46,__LLM_VALIDATED_WRONG__,False
68,26,46,__LLM_VALIDATED_WRONG__,False
92,9,\frac{448}{15625},__LLM_VALIDATED_WRONG__,False
92,17,\frac{448}{15625},__LLM_VALIDATED_WRONG__,False
92,24,\frac{448}{15625},__LLM_VALIDATED_WRONG__,False
92,28,\frac{448}{15625},__LLM_VALIDATED_WRONG__,False
114,5,-5,__LLM_VALIDATED_WRONG__,False
114,9,-5,__LLM_VALIDATED_WRONG__,False
114,14,-5,__LLM_VALIDATED_WRONG__,False
114,22,-5,__LLM_VALIDATED_WRONG__,False
120,8,\text{even},__LLM_VALIDATED_WRONG__,False
120,18,\text{even},__LLM_VALIDATED_WRONG__,False
120,21,\text{even},__LLM_VALIDATED_WRONG__,False
150,8,1,__LLM_VALIDATED_WRONG__,False
150,12,1,__LLM_VALIDATED_WRONG__,False
150,18,1,1,True
150,25,1,__LLM_VALIDATED_WRONG__,False
150,28,1,__LLM_VALIDATED_WRONG__,False
165,9,\frac{4}{9},__LLM_VALIDATED_WRONG__,False
165,15,\frac{4}{9},__LLM_VALIDATED_WRONG__,False
165,19,\frac{4}{9},__LLM_VALIDATED_WRONG__,False
165,26,\frac{4}{9},__LLM_VALIDATED_WRONG__,False
167,10,65,__LLM_VALIDATED_WRONG__,False
167,14,65,__LLM_VALIDATED_WRONG__,False
169,28,12,__LLM_VALIDATED_WRONG__,False
172,0,350,350,True
172,1,350,350,True
172,3,350,350,False
172,5,350,350,True
172,6,350,350,True
172,9,350,350,True
172,10,350,350,True
172,14,350,350,True
172,16,350,350,True
172,22,350,350,True
172,28,350,__LLM_VALIDATED_WRONG__,False
183,27,23,__LLM_VALIDATED_WRONG__,False
185,10,1,__LLM_VALIDATED_WRONG__,False
185,14,1,__LLM_VALIDATED_WRONG__,False
185,21,1,__LLM_VALIDATED_WRONG__,False
185,25,1,1,True
189,1,160,358,False
189,2,160,__LLM_VALIDATED_WRONG__,False
189,5,160,__LLM_VALIDATED_WRONG__,False
189,6,160,200,False
189,8,160,__LLM_VALIDATED_WRONG__,False
189,9,160,120,False
189,15,160,__LLM_VALIDATED_WRONG__,False
189,17,160,114.48,False
189,18,160,__LLM_VALIDATED_WRONG__,False
189,20,160,280 - 20\sqrt{14},False
189,24,160,__LLM_VALIDATED_WRONG__,False
189,25,160,20,False
189,26,160,20,False
